2019,Country,"Share 2018","Share 2019","Count 2019","Change in Adjusted Share 2018-2019"
1,"United States of America (USA)",20425.42,20192.4,28463,-4.4
2,China,11383.07,13591.27,18055,15.5
3,Germany,4595.65,4559.46,8803,-4.0
4,"United Kingdom (UK)",3762.93,3781.73,7860,-2.8
5,Japan,3090.91,3033.93,4920,-5.1
6,France,2207.1,2251.55,5078,-1.3
7,Canada,1623.63,1606.2,3416,-4.3
8,Switzerland,1425.75,1491.03,3282,1.2
9,"South Korea",1352.05,1436.43,2422,2.8
10,Australia,1257.47,1265.62,3002,-2.6
11,Spain,1169.68,1168.03,2786,-3.4
12,India,963.22,1041.52,1657,4.6
13,Italy,1068.68,1037.28,2658,-6.1
14,Netherlands,937.89,933.31,2411,-3.7
15,Sweden,639.04,626.47,1843,-5.2
16,Israel,619.03,610.35,1293,-4.6
17,Singapore,607.14,608.75,1256,-3.0
18,Russia,483.05,468.24,1419,-6.2
19,Belgium,421.89,413.06,1180,-5.3
20,Denmark,409.26,389.06,1152,-8.0
21,Taiwan,393.28,372.75,934,-8.3
22,Austria,366.93,368.54,1138,-2.8
23,Brazil,308.51,280.48,857,-12.1
24,Poland,236.45,250.1,828,2.3
25,"Czech Republic",198.83,230.07,723,11.9
26,Norway,201.83,229.72,737,10.1
27,Finland,217.58,218.63,738,-2.8
28,Portugal,166.92,144.82,558,-16.1
29,"Saudi Arabia",134.05,135.62,452,-2.1
30,"New Zealand",124.52,131.64,444,2.3
31,Chile,109.09,119.7,440,6.1
32,Ireland,110.12,117,451,2.8
33,Iran,118.47,112.21,293,-8.4
34,Mexico,102.48,94.67,380,-10.6
35,Argentina,100.83,94.38,302,-9.5
36,Greece,84.24,86.18,423,-1.0
37,"South Africa",90.77,83.37,405,-11.2
38,Hungary,79.45,81.15,376,-1.2
39,Turkey,72.97,64.51,374,-14.5
40,Thailand,40.71,49,254,16.4
41,Slovenia,42.86,46.54,184,5.0
42,Colombia,17.56,28.01,272,54.3
43,Estonia,16.33,25.87,196,53.3
44,Iceland,28.66,25.26,115,-14.7
45,Romania,23.52,24.19,213,-0.5
46,Ukraine,21.78,23.24,233,3.2
47,Luxembourg,20.39,21.34,81,1.2
48,"United Arab Emirates",17.79,21.2,107,15.3
49,Croatia,31.28,20.93,184,-35.3
50,Slovakia,10.14,19.02,148,81.4
