"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATEFIELD","EDU","PC","A","2016",9.39,
"AUS","GRADRATEFIELD","EDU","PC","A","2017",9.997,
"AUS","GRADRATEFIELD","EDU","PC","A","2018",8.641,
"AUS","GRADRATEFIELD","HEALTH","PC","A","2016",18.182,
"AUS","GRADRATEFIELD","HEALTH","PC","A","2017",18.264,
"AUS","GRADRATEFIELD","HEALTH","PC","A","2018",17.478,
"AUS","GRADRATEFIELD","BUSINESS","PC","A","2016",33.742,
"AUS","GRADRATEFIELD","BUSINESS","PC","A","2017",33.381,
"AUS","GRADRATEFIELD","BUSINESS","PC","A","2018",35.916,
"AUS","GRADRATEFIELD","ENGINEERING","PC","A","2016",8.174,
"AUS","GRADRATEFIELD","ENGINEERING","PC","A","2017",8.278,
"AUS","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.844,
"AUT","GRADRATEFIELD","EDU","PC","A","2016",12.246,
"AUT","GRADRATEFIELD","EDU","PC","A","2017",12.934,
"AUT","GRADRATEFIELD","EDU","PC","A","2018",11.599,
"AUT","GRADRATEFIELD","HEALTH","PC","A","2016",7.351,
"AUT","GRADRATEFIELD","HEALTH","PC","A","2017",7.484,
"AUT","GRADRATEFIELD","HEALTH","PC","A","2018",8.433,
"AUT","GRADRATEFIELD","BUSINESS","PC","A","2016",21.747,
"AUT","GRADRATEFIELD","BUSINESS","PC","A","2017",22.909,
"AUT","GRADRATEFIELD","BUSINESS","PC","A","2018",24.375,
"AUT","GRADRATEFIELD","ENGINEERING","PC","A","2016",20.506,
"AUT","GRADRATEFIELD","ENGINEERING","PC","A","2017",20.128,
"AUT","GRADRATEFIELD","ENGINEERING","PC","A","2018",20.593,
"BEL","GRADRATEFIELD","EDU","PC","A","2016",8.829,
"BEL","GRADRATEFIELD","EDU","PC","A","2017",8.707,
"BEL","GRADRATEFIELD","EDU","PC","A","2018",8.143,
"BEL","GRADRATEFIELD","HEALTH","PC","A","2016",27.303,
"BEL","GRADRATEFIELD","HEALTH","PC","A","2017",28.18,
"BEL","GRADRATEFIELD","HEALTH","PC","A","2018",29.739,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2016",21.757,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2017",22.15,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2018",20.994,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2016",11.924,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2017",11.63,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2018",11.537,
"CAN","GRADRATEFIELD","EDU","PC","A","2016",7.696,
"CAN","GRADRATEFIELD","EDU","PC","A","2017",5.795,
"CAN","GRADRATEFIELD","EDU","PC","A","2018",5.665,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2016",14.168,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2017",14.719,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2018",14.722,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2016",25.981,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2017",27.36,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2018",27.692,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2016",12.167,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2017",13.091,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.132,
"CZE","GRADRATEFIELD","EDU","PC","A","2016",10.48,
"CZE","GRADRATEFIELD","EDU","PC","A","2017",10.549,
"CZE","GRADRATEFIELD","EDU","PC","A","2018",11.395,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2016",11.531,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2017",12.325,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2018",12.175,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2016",21.514,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2017",20.618,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2018",19.887,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.883,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.935,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2018",15.473,
"DNK","GRADRATEFIELD","EDU","PC","A","2016",5.786,
"DNK","GRADRATEFIELD","EDU","PC","A","2017",6.038,
"DNK","GRADRATEFIELD","EDU","PC","A","2018",5.243,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2016",20.335,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2017",20.882,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2018",20.909,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2016",24.871,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2017",24.742,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2018",25.689,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2016",10.333,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2017",10.965,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2018",12.026,
"FIN","GRADRATEFIELD","EDU","PC","A","2016",6.421,
"FIN","GRADRATEFIELD","EDU","PC","A","2017",6.71,
"FIN","GRADRATEFIELD","EDU","PC","A","2018",6.765,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2016",19.705,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2017",21.427,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2018",21.93,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2016",18.268,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2017",18.89,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2018",18.85,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2016",17.699,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2017",16.163,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2018",16.475,
"FRA","GRADRATEFIELD","EDU","PC","A","2016",3.988,
"FRA","GRADRATEFIELD","EDU","PC","A","2017",4.192,
"FRA","GRADRATEFIELD","EDU","PC","A","2018",4.127,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2016",15.435,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2017",14.259,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2018",14.561,
"FRA","GRADRATEFIELD","BUSINESS","PC","A","2016",33.266,
"FRA","GRADRATEFIELD","BUSINESS","PC","A","2017",34.65,
"FRA","GRADRATEFIELD","BUSINESS","PC","A","2018",34.323,
"FRA","GRADRATEFIELD","ENGINEERING","PC","A","2016",14.901,
"FRA","GRADRATEFIELD","ENGINEERING","PC","A","2017",14.861,
"FRA","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.964,
"DEU","GRADRATEFIELD","EDU","PC","A","2016",9.915,
"DEU","GRADRATEFIELD","EDU","PC","A","2017",11.463,
"DEU","GRADRATEFIELD","EDU","PC","A","2018",11.245,
"DEU","GRADRATEFIELD","HEALTH","PC","A","2016",7.341,
"DEU","GRADRATEFIELD","HEALTH","PC","A","2017",7.254,
"DEU","GRADRATEFIELD","HEALTH","PC","A","2018",7.439,
"DEU","GRADRATEFIELD","BUSINESS","PC","A","2016",23.404,
"DEU","GRADRATEFIELD","BUSINESS","PC","A","2017",22.617,
"DEU","GRADRATEFIELD","BUSINESS","PC","A","2018",22.72,
"DEU","GRADRATEFIELD","ENGINEERING","PC","A","2016",22.076,
"DEU","GRADRATEFIELD","ENGINEERING","PC","A","2017",21.672,
"DEU","GRADRATEFIELD","ENGINEERING","PC","A","2018",21.432,
"GRC","GRADRATEFIELD","EDU","PC","A","2016",7.4,
"GRC","GRADRATEFIELD","EDU","PC","A","2017",7.297,
"GRC","GRADRATEFIELD","EDU","PC","A","2018",7.933,
"GRC","GRADRATEFIELD","HEALTH","PC","A","2016",12.182,
"GRC","GRADRATEFIELD","HEALTH","PC","A","2017",11.737,
"GRC","GRADRATEFIELD","HEALTH","PC","A","2018",11.145,
"GRC","GRADRATEFIELD","BUSINESS","PC","A","2016",21.226,
